INFO:absl:epoch: 107, train_loss: 0.1019, train_accuracy: 96.34, test_loss: 2.9744, test_accuracy: 68.50
INFO:absl:epoch: 108, train_loss: 0.1130, train_accuracy: 96.05, test_loss: 2.9627, test_accuracy: 68.54
INFO:absl:epoch: 109, train_loss: 0.1078, train_accuracy: 96.10, test_loss: 3.0160, test_accuracy: 68.68
INFO:absl:epoch: 110, train_loss: 0.1196, train_accuracy: 95.70, test_loss: 3.0038, test_accuracy: 68.58
INFO:absl:epoch: 111, train_loss: 0.0940, train_accuracy: 96.68, test_loss: 3.1342, test_accuracy: 68.44
INFO:absl:epoch: 112, train_loss: 0.1043, train_accuracy: 96.31, test_loss: 3.0007, test_accuracy: 68.61
INFO:absl:epoch: 113, train_loss: 0.1028, train_accuracy: 96.34, test_loss: 3.1345, test_accuracy: 68.21
INFO:absl:epoch: 114, train_loss: 0.0857, train_accuracy: 96.91, test_loss: 3.2172, test_accuracy: 68.83
INFO:absl:epoch: 115, train_loss: 0.0880, train_accuracy: 96.82, test_loss: 3.3240, test_accuracy: 67.93
INFO:absl:epoch: 116, train_loss: 0.0979, train_accuracy: 96.57, test_loss: 3.1306, test_accuracy: 68.14
INFO:absl:epoch: 117, train_loss: 0.0923, train_accuracy: 96.71, test_loss: 3.2472, test_accuracy: 68.17
INFO:absl:epoch: 118, train_loss: 0.0996, train_accuracy: 96.49, test_loss: 3.2231, test_accuracy: 68.42
INFO:absl:epoch: 119, train_loss: 0.1087, train_accuracy: 96.22, test_loss: 3.1865, test_accuracy: 68.87
INFO:absl:epoch: 120, train_loss: 0.0871, train_accuracy: 96.95, test_loss: 3.2112, test_accuracy: 69.05
INFO:absl:epoch: 121, train_loss: 0.0910, train_accuracy: 96.78, test_loss: 3.3192, test_accuracy: 68.65
INFO:absl:epoch: 122, train_loss: 0.0851, train_accuracy: 96.99, test_loss: 3.3238, test_accuracy: 68.05
INFO:absl:epoch: 123, train_loss: 0.1078, train_accuracy: 96.18, test_loss: 3.2955, test_accuracy: 67.69
INFO:absl:epoch: 124, train_loss: 0.1153, train_accuracy: 95.99, test_loss: 3.2858, test_accuracy: 68.63
INFO:absl:epoch: 125, train_loss: 0.1021, train_accuracy: 96.43, test_loss: 3.3543, test_accuracy: 68.20
INFO:absl:epoch: 126, train_loss: 0.1038, train_accuracy: 96.45, test_loss: 3.2697, test_accuracy: 68.67
INFO:absl:epoch: 127, train_loss: 0.0839, train_accuracy: 97.05, test_loss: 3.3607, test_accuracy: 68.89
INFO:absl:epoch: 128, train_loss: 0.0968, train_accuracy: 96.56, test_loss: 3.3811, test_accuracy: 68.82
INFO:absl:epoch: 129, train_loss: 0.0997, train_accuracy: 96.51, test_loss: 3.3942, test_accuracy: 68.50
INFO:absl:epoch: 130, train_loss: 0.1109, train_accuracy: 96.23, test_loss: 3.4048, test_accuracy: 68.35
INFO:absl:epoch: 131, train_loss: 0.0988, train_accuracy: 96.63, test_loss: 3.4204, test_accuracy: 68.76
INFO:absl:epoch: 132, train_loss: 0.0942, train_accuracy: 96.77, test_loss: 3.5038, test_accuracy: 68.58
INFO:absl:epoch: 133, train_loss: 0.0984, train_accuracy: 96.68, test_loss: 3.6218, test_accuracy: 67.69
INFO:absl:epoch: 134, train_loss: 0.1209, train_accuracy: 96.04, test_loss: 3.5185, test_accuracy: 67.88
INFO:absl:epoch: 135, train_loss: 0.1040, train_accuracy: 96.44, test_loss: 3.5584, test_accuracy: 68.49
INFO:absl:epoch: 136, train_loss: 0.0943, train_accuracy: 96.75, test_loss: 3.6269, test_accuracy: 68.22
INFO:absl:epoch: 137, train_loss: 0.1046, train_accuracy: 96.43, test_loss: 3.4543, test_accuracy: 69.18
INFO:absl:epoch: 138, train_loss: 0.0936, train_accuracy: 96.81, test_loss: 3.4551, test_accuracy: 68.66
INFO:absl:epoch: 139, train_loss: 0.0907, train_accuracy: 96.95, test_loss: 3.4875, test_accuracy: 68.18
INFO:absl:epoch: 140, train_loss: 0.0826, train_accuracy: 97.21, test_loss: 3.6736, test_accuracy: 68.39
INFO:absl:epoch: 141, train_loss: 0.0942, train_accuracy: 96.80, test_loss: 3.5027, test_accuracy: 68.92
INFO:absl:epoch: 142, train_loss: 0.1043, train_accuracy: 96.39, test_loss: 3.6552, test_accuracy: 68.18
INFO:absl:epoch: 143, train_loss: 0.1031, train_accuracy: 96.52, test_loss: 3.6123, test_accuracy: 68.38
INFO:absl:epoch: 144, train_loss: 0.1039, train_accuracy: 96.50, test_loss: 3.6416, test_accuracy: 68.44
INFO:absl:epoch: 145, train_loss: 0.1016, train_accuracy: 96.58, test_loss: 3.6912, test_accuracy: 68.56
INFO:absl:epoch: 146, train_loss: 0.1161, train_accuracy: 96.15, test_loss: 3.5966, test_accuracy: 67.67
INFO:absl:epoch: 147, train_loss: 0.1086, train_accuracy: 96.37, test_loss: 3.6965, test_accuracy: 68.36
